operator,total_mw_mw,total_whitespace_m2,dc_total,dc_with_mw,dc_with_whitespace,avg_mw_per_dc
"Master Internet, Ltd.",32.464,28450.0,3,3,3,10.821
Ceske Radiokomunikace,31.488,5433.6,5,5,4,6.298
"TTC TELEPORT, s.r.o",20.000,5.6,2,2,2,10.000
CE Colo,15.000,6.2,2,2,2,7.500
O2 Czech Republic a.s.,12.033,5359.2,4,4,4,3.008
T-Mobile Czech Republic a.s.,11.550,624.6,4,4,4,2.888
Seznam.cz,6.200,2946.9,4,4,4,1.550
Nej.cz,4.737,1555.0,3,3,3,1.579
Státní pokladna Centrum sdílených služeb,4.000,782.0,2,2,2,2.000
"WEDOS Internet, a.s.",3.500,330.0,2,2,1,1.750
SafeDX s.r.o.,3.000,1173.5,1,1,1,3.000
Casablanca INT s.r.o.,2.000,1.6,1,1,1,2.000
Czech IT Cluster,2.000,800.0,1,1,1,2.000
Technologické centrum Písek,1.800,246.0,1,1,1,1.800
ZonerCloud,1.513,459.5,2,2,2,0.756
CD-Telematika,1.211,519.5,2,2,2,0.605
COOLHOUSING s.r.o.,1.066,350.0,1,1,1,1.066
Greendata s.r.o.,1.000,800.0,1,1,1,1.000
VSHOSTING,1.000,275.1,1,1,1,1.000
FORPSI,1.000,1500.0,1,1,1,1.000
"SYNOT ICT Services, a.s.",0.850,4276.0,1,1,1,0.850
DC Vega,0.800,333.0,1,1,1,0.800
MERIT GROUP a.s.,0.736,241.7,1,1,1,0.736
"Host-telecom.com, s.r.o.",0.692,227.0,1,1,1,0.692
"FreeTel, s.r.o.",0.655,215.0,1,1,1,0.655
Faster CZ spol. s r.o.,0.624,205.0,1,1,1,0.624
K2 atmitec s.r.o.,0.560,66.0,1,1,1,0.560
ANAFRA s.r.o.,0.437,143.6,1,1,1,0.437
ICT NWT s.r.o.,0.219,72.0,1,1,1,0.219
"INTERNEXT 2000, s.r.o.",0.068,75.0,1,1,1,0.068
WMS s.r.o.,0.032,2143.6,1,1,1,0.032
EXA Infrastructure,0.000,0.0,1,0,0,0.000
